title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,rating_tier,year_added,month_added,movie_age
Shrek Forever After,Mike Mitchell,"Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn",United States of America,5/16/2010,2010,6.38,"Comedy, Adventure, Fantasy, Animation, Family",en,203.893,7449,6.38,165000000,752600867,Average,2010,May,15
Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page","United Kingdom, United States of America",7/15/2010,2010,8.369,"Action, Science Fiction, Adventure",en,156.242,37119,8.369,160000000,839030630,Excellent,2010,July,15
Harry Potter and the Deathly Hallows: Part 1,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Toby Jones, Helena Bonham Carter","United Kingdom, United States of America",11/17/2010,2010,7.744,"Adventure, Fantasy",en,121.191,19327,7.744,250000000,954305868,Good,2010,November,15
Tangled,"Byron Howard, Nathan Greno","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey",United States of America,11/24/2010,2010,7.6,"Animation, Family, Adventure",en,111.762,11638,7.6,260000000,592461732,Good,2010,November,15
How to Train Your Dragon,"Chris Sanders, Dean DeBlois","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill",United States of America,3/18/2010,2010,7.8,"Fantasy, Adventure, Animation, Family",en,110.044,13259,7.8,165000000,494879471,Good,2010,March,15
Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",United States of America,2/14/2010,2010,8.2,"Drama, Thriller, Mystery",en,101.551,24282,8.2,80000000,294804195,Excellent,2010,February,15
The Karate Kid,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Wang ZhenWei","China, Hong Kong, United States of America",6/10/2010,2010,6.5,"Action, Adventure, Drama, Family",en,96.385,6082,6.5,40000000,359126022,Average,2010,June,15
Iron Man 2,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",United States of America,4/28/2010,2010,6.8,"Adventure, Action, Science Fiction",en,95.255,21222,6.8,200000000,623933331,Good,2010,April,15
Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider",United States of America,6/24/2010,2010,6.394,Comedy,en,93.281,6212,6.394,80000000,271430189,Average,2010,June,15
Room in Rome,Julio Medem,"Elena Anaya, Natasha Yarovenko, Enrico Lo Verso, Najwa Nimri, Ander Malles","France, Spain",5/7/2010,2010,6.416,"Drama, Romance",es,90.23,748,6.416,,844281,Average,2010,May,15
Despicable Me,"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Miranda Cosgrove, Elsie Fisher, Dana Gaier",United States of America,7/8/2010,2010,7.2,"Animation, Family, Comedy",en,86.361,15258,7.2,69000000,543284256,Good,2010,July,15
Toy Story 3,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn",United States of America,6/16/2010,2010,7.8,"Animation, Family, Comedy",en,83.097,14847,7.8,200000000,1067316101,Good,2010,June,15
The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Dakota Fanning",United States of America,6/23/2010,2010,6.204,"Adventure, Fantasy, Drama, Romance",en,81.8,8829,6.204,68000000,698491347,Average,2010,June,15
Alice in Wonderland,Tim Burton,"Mia Wasikowska, Johnny Depp, Anne Hathaway, Helena Bonham Carter, Crispin Glover",United States of America,3/3/2010,2010,6.6,"Family, Fantasy, Adventure",en,80.326,14114,6.6,200000000,1025467110,Good,2010,March,15
A Serbian Film,Srđan Spasojević,"Srđan 'Žika' Todorović, Sergej Trifunović, Jelena Gavrilović, Slobodan Beštić, Katarina Žutić",Serbia,6/16/2010,2010,5.471,"Crime, Horror, Thriller",sr,74.238,2018,5.471,,,Average,2010,June,15
Undisputed III: Redemption,Isaac Florentine,"Scott Adkins, Mykel Shannon Jenkins, Mark Ivanir, Hristo Shopov, Marko Zaror",United States of America,4/17/2010,2010,7.517,"Action, Thriller, Crime, Drama",en,71.837,925,7.517,3000000,282548,Good,2010,April,15
The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield, Armie Hammer, Josh Pence, Justin Timberlake",United States of America,10/1/2010,2010,7.368,Drama,en,69.048,12285,7.368,40000000,224920315,Good,2010,October,15
Three Steps Above Heaven,Fernando González Molina,"María Valverde, Mario Casas, Álvaro Cervantes, Marina Salas, Nerea Camacho",Spain,12/3/2010,2010,7.7,"Romance, Drama",es,66.968,3095,7.7,,,Good,2010,December,15
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"Logan Lerman, Brandon T. Jackson, Alexandra Daddario, Jake Abel, Pierce Brosnan",United States of America,2/1/2010,2010,6.21,"Adventure, Fantasy, Family",en,64.865,7519,6.21,95000000,226497209,Average,2010,February,15
The Town,Ben Affleck,"Ben Affleck, Jeremy Renner, Rebecca Hall, Jon Hamm, Blake Lively","United Kingdom, United States of America",9/15/2010,2010,7.2,"Crime, Drama, Thriller",en,58.865,5117,7.2,37000000,154026136,Good,2010,September,15
Predators,Nimród Antal,"Adrien Brody, Topher Grace, Alice Braga, Oleg Taktarov, Laurence Fishburne",United States of America,7/3/2010,2010,6.3,"Science Fiction, Action, Thriller",en,58.518,4194,6.3,40000000,127200000,Average,2010,July,15
Megamind,Tom McGrath,"Will Ferrell, Tina Fey, Jonah Hill, Brad Pitt, David Cross",United States of America,10/28/2010,2010,6.999,"Animation, Action, Comedy, Family, Science Fiction",en,58.422,6944,6.999,130000000,321885765,Good,2010,October,15
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Anna Popplewell","United Kingdom, United States of America",12/2/2010,2010,6.4,"Adventure, Family, Fantasy",en,53.64,5621,6.4,155000000,415686217,Average,2010,December,15
